Id,SalePrice
1461,123596.289062
1462,158959.625
1463,180750.328125
1464,189205.578125
1465,187031.390625
1466,172936.4375
1467,172125.75
1468,167627.859375
1469,182255.734375
1470,121249.984375
1471,188302.640625
1472,95298.953125
1473,94555.0703125
1474,152645.59375
1475,113058.523438
1476,385697.4375
1477,253190.453125
1478,291505.625
1479,270984.84375
1480,510546.53125
1481,330450.03125
1482,212126.765625
1483,178148.40625
1484,166697.96875
1485,181334.421875
1486,191596.4375
1487,339194.5625
1488,237833.578125
1489,204443.953125
1490,223062.828125
1491,189226.875
1492,95968.0234375
1493,182255.734375
1494,300396.71875
1495,286525.4375
1496,228611.921875
1497,177174.84375
1498,168179.328125
1499,159501.296875
1500,158073.75
1501,171942.8125
1502,149107.828125
1503,293526.71875
1504,240366.4375
1505,224649.875
1506,181315.046875
1507,241176.765625
1508,204401.265625
1509,164575.890625
1510,148920.09375
1511,151346.65625
1512,169608.828125
1513,149459.203125
1514,150473.34375
1515,183368.21875
1516,154141.8125
1517,160971.8125
1518,133156.359375
1519,220801.765625
1520,131180.984375
1521,134935.953125
1522,171844.78125
1523,115663.40625
1524,124634.835938
1525,121070.304688
1526,118904.773438
1527,104885.554688
1528,135873.203125
1529,146784.625
1530,177736.53125
1531,112836.523438
1532,96106.0546875
1533,140630.734375
1534,127956.90625
1535,145518.90625
1536,110428.125
1537,64339.7226562
1538,160303.578125
1539,185220.15625
1540,95245.8046875
1541,143752.109375
1542,137915.9375
1543,194029.34375
1544,76220.28125
1545,117150.320312
1546,133922.90625
1547,133946.015625
1548,136122.859375
1549,119919.90625
1550,139412.09375
1551,118241.554688
1552,133615.703125
1553,138945.28125
1554,118733.898438
1555,167627.859375
1556,89881.7578125
1557,99581.3671875
1558,97863.6484375
1559,67408.015625
1560,136391.984375
1561,124012.601562
1562,129878.898438
1563,120230.929688
1564,157580.046875
1565,154317.734375
1566,241176.765625
1567,73974.8125
1568,232321.703125
1569,132661.890625
1570,140693.78125
1571,123027.34375
1572,143246.296875
1573,235250.875
1574,117941.53125
1575,222158.0
1576,239005.234375
1577,185370.359375
1578,145700.265625
1579,143974.921875
1580,192039.3125
1581,149348.34375
1582,130244.929688
1583,309657.0
1584,223964.0625
1585,140904.46875
1586,61922.2734375
1587,105780.296875
1588,151872.21875
1589,96776.359375
1590,133044.90625
1591,94157.875
1592,118598.882812
1593,128696.585938
1594,121270.679688
1595,105468.125
1596,226263.328125
1597,183784.359375
1598,202839.40625
1599,171942.8125
1600,171111.5
1601,57730.1679688
1602,121193.796875
1603,76526.921875
1604,268751.6875
1605,244004.34375
1606,170831.203125
1607,166326.0625
1608,217037.359375
1609,186227.4375
1610,158331.59375
1611,140709.078125
1612,168902.640625
1613,166491.109375
1614,127956.90625
1615,85569.890625
1616,71647.0078125
1617,90824.0
1618,128824.046875
1619,139647.890625
1620,160789.390625
1621,137040.25
1622,146139.59375
1623,272613.96875
1624,215522.578125
1625,123669.390625
1626,167778.84375
1627,186967.375
1628,282366.40625
1629,178044.109375
1630,332708.78125
1631,215805.796875
1632,236831.125
1633,174160.046875
1634,184578.484375
1635,171942.8125
1636,160111.515625
1637,184627.953125
1638,179926.34375
1639,180008.046875
1640,246164.46875
1641,176974.390625
1642,231816.65625
1643,223362.546875
1644,238987.6875
1645,182255.734375
1646,160317.796875
1647,162114.171875
1648,131618.328125
1649,141223.171875
1650,118774.890625
1651,122135.484375
1652,96316.265625
1653,97601.4609375
1654,150462.578125
1655,142004.59375
1656,145944.46875
1657,151264.984375
1658,151034.34375
1659,124252.921875
1660,154525.234375
1661,436394.125
1662,386473.21875
1663,376430.15625
1664,432145.75
1665,310375.75
1666,320360.4375
1667,345471.84375
1668,340246.21875
1669,297378.4375
1670,344300.59375
1671,266700.15625
1672,419963.9375
1673,297227.59375
1674,243310.015625
1675,189441.75
1676,189105.828125
1677,220593.8125
1678,462571.46875
1679,378045.125
1680,324040.625
1681,246239.375
1682,315687.375
1683,180076.546875
1684,176268.46875
1685,171960.6875
1686,168902.640625
1687,167957.34375
1688,189105.828125
1689,192666.6875
1690,191433.703125
1691,177907.140625
1692,270448.875
1693,171477.578125
1694,179100.828125
1695,166967.640625
1696,272613.96875
1697,171960.6875
1698,347352.9375
1699,316493.15625
1700,257530.328125
1701,271828.40625
1702,237040.8125
1703,245049.765625
1704,281241.96875
1705,239131.765625
1706,416370.8125
1707,215885.671875
1708,206443.578125
1709,277384.65625
1710,223225.828125
1711,268895.78125
1712,253343.109375
1713,277752.84375
1714,220764.5
1715,210389.078125
1716,182858.125
1717,176268.46875
1718,136122.859375
1719,200751.171875
1720,237040.8125
1721,169657.203125
1722,126002.179688
1723,157343.09375
1724,209899.6875
1725,230634.6875
1726,183555.25
1727,159501.59375
1728,174095.9375
1729,164421.53125
1730,159069.875
1731,121070.304688
1732,133062.546875
1733,119810.054688
1734,122830.382812
1735,129229.625
1736,111655.375
1737,317094.96875
1738,244412.375
1739,234204.796875
1740,214336.0
1741,186424.5
1742,170947.40625
1743,176437.65625
1744,324642.5625
1745,215522.578125
1746,188212.515625
1747,218479.640625
1748,214516.96875
1749,153765.953125
1750,128555.273438
1751,238499.078125
1752,118733.898438
1753,144056.921875
1754,192174.703125
1755,168629.828125
1756,125606.617188
1757,124298.671875
1758,147288.046875
1759,161109.265625
1760,165939.3125
1761,143532.65625
1762,171942.8125
1763,177736.53125
1764,117289.617188
1765,158638.5625
1766,178385.21875
1767,211652.5
1768,145332.78125
1769,171942.8125
1770,150417.671875
1771,122916.164062
1772,134202.265625
1773,130600.039062
1774,137782.625
1775,140533.671875
1776,128401.742188
1777,115531.882812
1778,139017.25
1779,122154.007812
1780,172125.75
1781,126953.742188
1782,93738.0234375
1783,143933.734375
1784,112350.3125
1785,121666.28125
1786,140683.046875
1787,166603.40625
1788,56712.6523438
1789,97383.0546875
1790,81618.7734375
1791,177924.109375
1792,156042.71875
1793,131181.109375
1794,149785.109375
1795,135631.875
1796,131402.359375
1797,121565.84375
1798,120736.273438
1799,114472.210938
1800,127340.921875
1801,126403.453125
1802,134944.453125
1803,150566.9375
1804,144177.3125
1805,138437.765625
1806,125662.328125
1807,134752.4375
1808,126016.484375
1809,121877.523438
1810,144357.828125
1811,97666.5390625
1812,96776.359375
1813,127956.90625
1814,99268.5625
1815,56712.6523438
1816,96942.4453125
1817,109440.726562
1818,139533.796875
1819,123101.28125
1820,57566.4414062
1821,116414.921875
1822,149766.96875
1823,56712.6523438
1824,129116.90625
1825,136886.515625
1826,101226.671875
1827,100515.28125
1828,135485.015625
1829,124903.273438
1830,141692.5
1831,147582.046875
1832,83567.3984375
1833,139238.703125
1834,123969.914062
1835,124465.09375
1836,124789.929688
1837,90351.3515625
1838,128135.070312
1839,95588.8671875
1840,156554.4375
1841,139984.703125
1842,85262.3828125
1843,133562.1875
1844,141181.28125
1845,142771.0
1846,156447.71875
1847,165126.46875
1848,56873.953125
1849,114569.085938
1850,119186.445312
1851,151196.328125
1852,127535.984375
1853,130663.203125
1854,170574.484375
1855,157953.5
1856,220419.265625
1857,151051.765625
1858,135363.875
1859,122202.015625
1860,151843.40625
1861,121282.828125
1862,303934.53125
1863,286668.375
1864,286668.375
1865,337881.8125
1866,324921.625
1867,230130.015625
1868,294737.96875
1869,209210.203125
1870,232325.46875
1871,260167.984375
1872,171830.53125
1873,238166.546875
1874,146619.96875
1875,197814.921875
1876,192436.40625
1877,213383.125
1878,201026.296875
1879,132515.09375
1880,133313.15625
1881,238447.0
1882,242660.703125
1883,188302.640625
1884,207284.390625
1885,239374.546875
1886,293560.875
