SalePrice,id
11.7622635085,1461
11.9597708247,1462
12.1325480032,1463
12.2258732711,1464
12.0989783659,1465
12.0979791477,1466
12.1056973473,1467
12.0189381335,1468
12.1832633234,1469
11.6442781753,1470
12.2024574075,1471
11.5075259355,1472
11.4913754551,1473
11.8874139209,1474
11.5720772852,1475
12.6280729944,1476
12.3819304583,1477
12.5258628977,1478
12.4893684857,1479
12.8925115973,1480
12.6119233069,1481
12.2615425134,1482
12.1319128351,1483
12.0106422198,1484
12.1595074935,1485
12.1961576415,1486
12.5364848917,1487
12.3840154374,1488
12.1220823321,1489
12.3039061355,1490
12.209776779,1491
11.5158075688,1492
12.2638452055,1493
12.4883465526,1494
12.5141190797,1495
12.2573406699,1496
12.0395682979,1497
11.9582543864,1498
11.8935394916,1499
11.9059482317,1500
12.0401315923,1501
11.9029306414,1502
12.5033582088,1503
12.322470862,1504
12.2664789807,1505
12.1767538201,1506
12.4257969682,1507
12.2262366955,1508
11.9878997727,1509
11.8768243182,1510
11.8978712809,1511
12.0857043762,1512
12.014037954,1513
12.0184430104,1514
12.3825500611,1515
12.0478052429,1516
12.0223018794,1517
11.7575864683,1518
12.2720464041,1519
11.7479287487,1520
11.8074437931,1521
12.1259272574,1522
11.5568200747,1523
11.7780380303,1524
11.7426449457,1525
11.7231959736,1526
11.5688960259,1527
11.8975301619,1528
11.8459279725,1529
12.2203355486,1530
11.6460439423,1531
11.5134142407,1532
11.8318687824,1533
11.7451088826,1534
12.0204031356,1535
11.6755636007,1536
10.9183057141,1537
11.9954110712,1538
12.2331742584,1539
11.6049525801,1540
11.9652519623,1541
11.8624795427,1542
12.185205435,1543
11.3849076105,1544
11.7212462004,1545
11.7679183045,1546
11.8533634093,1547
11.8576572538,1548
11.7374488578,1549
11.7359779843,1550
11.68933665,1551
11.7245212368,1552
11.9095757662,1553
11.631918356,1554
12.0844444482,1555
11.3671890292,1556
11.5844424924,1557
11.5085821046,1558
11.2792152642,1559
11.7650630743,1560
11.7908921675,1561
11.7239942342,1562
11.6527157403,1563
12.0094652408,1564
11.9111260742,1565
12.4213639017,1566
11.3015172576,1567
12.2867763381,1568
11.6319336669,1569
11.8688413298,1570
11.7294118153,1571
11.8924860372,1572
12.4024713418,1573
11.7138051162,1574
12.3407485888,1575
12.3910604282,1576
12.141107697,1577
11.8755909466,1578
11.914723646,1579
12.2329360521,1580
11.9130689544,1581
11.7169614572,1582
12.6152897741,1583
12.2851127104,1584
11.8866289089,1585
11.1686320341,1586
11.6070396629,1587
11.9096223693,1588
11.6308980888,1589
11.852418748,1590
11.4060561378,1591
11.7678181988,1592
11.6791184633,1593
11.6503394009,1594
11.4346079648,1595
12.1852916974,1596
12.0007340737,1597
12.2988544522,1598
12.10997485,1599
12.0094660949,1600
11.0170251337,1601
11.6981499196,1602
11.3969338283,1603
12.4355043111,1604
12.4303812177,1605
12.0797259472,1606
12.0173453762,1607
12.2833203982,1608
12.1361507292,1609
11.9811299991,1610
11.9817242533,1611
12.0511835502,1612
12.0276806995,1613
11.6811236233,1614
11.4389650121,1615
11.2591452453,1616
11.4873606794,1617
11.7251902817,1618
11.8548293437,1619
11.7822735164,1620
11.9035802891,1621
11.8620008494,1622
12.4234168049,1623
12.2563056249,1624
11.6779247072,1625
12.0793270413,1626
12.2141374766,1627
12.5549092221,1628
12.1835308044,1629
12.6958086899,1630
12.2799396317,1631
12.4064295779,1632
12.0695304536,1633
12.1260173496,1634
12.1158207563,1635
11.9366806827,1636
12.1597923891,1637
12.2688134926,1638
12.2605582291,1639
12.5267146462,1640
12.2199489112,1641
12.304705375,1642
12.2581680685,1643
12.2953678165,1644
12.2188209785,1645
11.9878089996,1646
12.0180179159,1647
11.7857335875,1648
11.8208483915,1649
11.6566977015,1650
11.7356718906,1651
11.5188975552,1652
11.5857993687,1653
11.88167117,1654
11.756413364,1655
11.8496339623,1656
11.8895357309,1657
11.8652553877,1658
11.7043357494,1659
11.9144505375,1660
12.9024975902,1661
12.7416361555,1662
12.7074562741,1663
13.0382366737,1664
12.5152841839,1665
12.653496177,1666
12.7038738932,1667
